2025-03-04 19:06:26,427 - INFO - Clock rate for client 2: 1 events per second
2025-03-04 19:06:58,860 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 99 | PHYSICAL TIME: 2025-03-04 19:06:49.00, MESSAGE QUEUE LENGTH: 13

2025-03-04 19:06:59,908 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 100 | PHYSICAL TIME: 2025-03-04 19:06:49.00, MESSAGE QUEUE LENGTH: 13

2025-03-04 19:07:00,944 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 101 | PHYSICAL TIME: 2025-03-04 19:06:49.00, MESSAGE QUEUE LENGTH: 14

2025-03-04 19:07:01,994 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 104 | PHYSICAL TIME: 2025-03-04 19:06:50.00, MESSAGE QUEUE LENGTH: 15

2025-03-04 19:07:03,137 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 108 | PHYSICAL TIME: 2025-03-04 19:06:51.00, MESSAGE QUEUE LENGTH: 16

2025-03-04 19:07:04,164 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 111 | PHYSICAL TIME: 2025-03-04 19:06:52.00, MESSAGE QUEUE LENGTH: 16

2025-03-04 19:07:05,195 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 113 | PHYSICAL TIME: 2025-03-04 19:06:52.00, MESSAGE QUEUE LENGTH: 16

2025-03-04 19:07:06,274 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 120 | PHYSICAL TIME: 2025-03-04 19:06:54.00, MESSAGE QUEUE LENGTH: 16

2025-03-04 19:07:07,329 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 121 | PHYSICAL TIME: 2025-03-04 19:06:54.00, MESSAGE QUEUE LENGTH: 15

2025-03-04 19:07:08,427 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 123 | PHYSICAL TIME: 2025-03-04 19:06:55.00, MESSAGE QUEUE LENGTH: 15

2025-03-04 19:07:09,432 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 125 | PHYSICAL TIME: 2025-03-04 19:06:55.00, MESSAGE QUEUE LENGTH: 15

