2025-03-05 03:44:39,619 - INFO - Clock rate for client 1: 3 events per second
2025-03-05 03:44:40,361 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 1 | PHYSICAL TIME: 2025-03-05 03:44:40.00, MESSAGE QUEUE LENGTH: 3

2025-03-05 03:44:40,762 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 2 | PHYSICAL TIME: 2025-03-05 03:44:40.00, MESSAGE QUEUE LENGTH: 2

2025-03-05 03:44:41,192 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 3 | PHYSICAL TIME: 2025-03-05 03:44:40.00, MESSAGE QUEUE LENGTH: 2

2025-03-05 03:44:41,563 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 5 | PHYSICAL TIME: 2025-03-05 03:44:41.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:44:41,930 - INFO - EVENT: Internal Event | LOGICAL TIME: 6 | PHYSICAL TIME: 2025-03-05 03:44:41.93, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:44:42,313 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 7 | PHYSICAL TIME: 2025-03-05 03:44:41.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:44:42,648 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 9 | PHYSICAL TIME: 2025-03-05 03:44:42.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:44:43,098 - INFO - EVENT: Internal Event | LOGICAL TIME: 10 | PHYSICAL TIME: 2025-03-05 03:44:43.09, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:44:43,443 - INFO - EVENT: Send Msg | RECIPIENT: 2 and 3 | LOGICAL TIME: 11 | PHYSICAL TIME: 2025-03-05 03:44:43.44, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:44:43,782 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 12 | PHYSICAL TIME: 2025-03-05 03:44:43.78, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:44:44,133 - INFO - EVENT: Internal Event | LOGICAL TIME: 13 | PHYSICAL TIME: 2025-03-05 03:44:44.13, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:44:44,543 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 14 | PHYSICAL TIME: 2025-03-05 03:44:44.54, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:44:44,886 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 18 | PHYSICAL TIME: 2025-03-05 03:44:44.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:44:45,330 - INFO - EVENT: Internal Event | LOGICAL TIME: 19 | PHYSICAL TIME: 2025-03-05 03:44:45.33, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:44:45,667 - INFO - EVENT: Internal Event | LOGICAL TIME: 20 | PHYSICAL TIME: 2025-03-05 03:44:45.66, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:44:46,084 - INFO - EVENT: Internal Event | LOGICAL TIME: 21 | PHYSICAL TIME: 2025-03-05 03:44:46.08, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:44:46,433 - INFO - EVENT: Internal Event | LOGICAL TIME: 22 | PHYSICAL TIME: 2025-03-05 03:44:46.43, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:44:46,769 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 24 | PHYSICAL TIME: 2025-03-05 03:44:46.00, MESSAGE QUEUE LENGTH: 1

