2025-03-05 03:42:49,475 - INFO - Clock rate for client 1: 2 events per second
2025-03-05 03:42:50,301 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 1 | PHYSICAL TIME: 2025-03-05 03:42:49.00, MESSAGE QUEUE LENGTH: 2

2025-03-05 03:42:50,860 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 2 | PHYSICAL TIME: 2025-03-05 03:42:49.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:42:51,487 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 6 | PHYSICAL TIME: 2025-03-05 03:42:51.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:42:51,989 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 7 | PHYSICAL TIME: 2025-03-05 03:42:51.98, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:42:52,546 - INFO - EVENT: Internal Event | LOGICAL TIME: 8 | PHYSICAL TIME: 2025-03-05 03:42:52.54, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:42:53,057 - INFO - EVENT: Internal Event | LOGICAL TIME: 9 | PHYSICAL TIME: 2025-03-05 03:42:53.05, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:42:53,623 - INFO - EVENT: Internal Event | LOGICAL TIME: 10 | PHYSICAL TIME: 2025-03-05 03:42:53.62, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:42:54,219 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 17 | PHYSICAL TIME: 2025-03-05 03:42:53.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:42:54,724 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 18 | PHYSICAL TIME: 2025-03-05 03:42:54.72, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:42:55,257 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 22 | PHYSICAL TIME: 2025-03-05 03:42:55.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:42:55,825 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 24 | PHYSICAL TIME: 2025-03-05 03:42:55.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:42:56,326 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 25 | PHYSICAL TIME: 2025-03-05 03:42:56.32, MESSAGE QUEUE LENGTH: 0

