2025-03-05 19:53:54,779 - INFO - Clock rate for client 3: 1 events per second
2025-03-05 19:53:55,291 - INFO - EVENT: Internal Event | LOGICAL TIME: 1 | PHYSICAL TIME: 2025-03-05 19:53:55.29, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:54:26,553 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 50 | PHYSICAL TIME: 2025-03-05 19:54:26.55, MESSAGE QUEUE LENGTH: 16

2025-03-05 19:54:27,564 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 52 | PHYSICAL TIME: 2025-03-05 19:54:27.56, MESSAGE QUEUE LENGTH: 15

2025-03-05 19:54:28,578 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 53 | PHYSICAL TIME: 2025-03-05 19:54:28.57, MESSAGE QUEUE LENGTH: 15

2025-03-05 19:54:29,580 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 54 | PHYSICAL TIME: 2025-03-05 19:54:29.58, MESSAGE QUEUE LENGTH: 15

2025-03-05 19:54:30,608 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 56 | PHYSICAL TIME: 2025-03-05 19:54:30.60, MESSAGE QUEUE LENGTH: 14

2025-03-05 19:54:31,631 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 63 | PHYSICAL TIME: 2025-03-05 19:54:31.63, MESSAGE QUEUE LENGTH: 14

2025-03-05 19:54:32,643 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 67 | PHYSICAL TIME: 2025-03-05 19:54:32.64, MESSAGE QUEUE LENGTH: 14

2025-03-05 19:54:33,649 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 68 | PHYSICAL TIME: 2025-03-05 19:54:33.64, MESSAGE QUEUE LENGTH: 14

2025-03-05 19:54:34,695 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 71 | PHYSICAL TIME: 2025-03-05 19:54:34.69, MESSAGE QUEUE LENGTH: 16

2025-03-05 19:54:35,739 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 73 | PHYSICAL TIME: 2025-03-05 19:54:35.73, MESSAGE QUEUE LENGTH: 15

2025-03-05 19:54:36,766 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 76 | PHYSICAL TIME: 2025-03-05 19:54:36.76, MESSAGE QUEUE LENGTH: 15

2025-03-05 19:54:37,807 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 77 | PHYSICAL TIME: 2025-03-05 19:54:37.80, MESSAGE QUEUE LENGTH: 15

2025-03-05 19:54:38,820 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 78 | PHYSICAL TIME: 2025-03-05 19:54:38.82, MESSAGE QUEUE LENGTH: 14

2025-03-05 19:54:39,848 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 80 | PHYSICAL TIME: 2025-03-05 19:54:39.84, MESSAGE QUEUE LENGTH: 14

2025-03-05 19:54:40,874 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 81 | PHYSICAL TIME: 2025-03-05 19:54:40.87, MESSAGE QUEUE LENGTH: 13

2025-03-05 19:54:41,933 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 87 | PHYSICAL TIME: 2025-03-05 19:54:41.93, MESSAGE QUEUE LENGTH: 12

2025-03-05 19:54:42,958 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 92 | PHYSICAL TIME: 2025-03-05 19:54:42.95, MESSAGE QUEUE LENGTH: 13

2025-03-05 19:54:43,984 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 97 | PHYSICAL TIME: 2025-03-05 19:54:43.98, MESSAGE QUEUE LENGTH: 14

2025-03-05 19:54:45,029 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 102 | PHYSICAL TIME: 2025-03-05 19:54:45.02, MESSAGE QUEUE LENGTH: 14

2025-03-05 19:54:46,120 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 106 | PHYSICAL TIME: 2025-03-05 19:54:46.12, MESSAGE QUEUE LENGTH: 15

2025-03-05 19:54:47,130 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 109 | PHYSICAL TIME: 2025-03-05 19:54:47.13, MESSAGE QUEUE LENGTH: 16

2025-03-05 19:54:48,254 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 110 | PHYSICAL TIME: 2025-03-05 19:54:48.25, MESSAGE QUEUE LENGTH: 16

2025-03-05 19:54:49,282 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 111 | PHYSICAL TIME: 2025-03-05 19:54:49.28, MESSAGE QUEUE LENGTH: 16

2025-03-05 19:54:50,310 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 112 | PHYSICAL TIME: 2025-03-05 19:54:50.31, MESSAGE QUEUE LENGTH: 17

2025-03-05 19:54:51,376 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 119 | PHYSICAL TIME: 2025-03-05 19:54:51.37, MESSAGE QUEUE LENGTH: 19

2025-03-05 19:54:52,450 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 120 | PHYSICAL TIME: 2025-03-05 19:54:52.45, MESSAGE QUEUE LENGTH: 19

2025-03-05 19:54:53,458 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 126 | PHYSICAL TIME: 2025-03-05 19:54:53.45, MESSAGE QUEUE LENGTH: 20

2025-03-05 19:54:54,652 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 134 | PHYSICAL TIME: 2025-03-05 19:54:54.65, MESSAGE QUEUE LENGTH: 19

2025-03-05 19:54:55,712 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 135 | PHYSICAL TIME: 2025-03-05 19:54:55.71, MESSAGE QUEUE LENGTH: 19

2025-03-05 19:54:56,755 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 137 | PHYSICAL TIME: 2025-03-05 19:54:56.75, MESSAGE QUEUE LENGTH: 20

2025-03-05 19:54:57,766 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 138 | PHYSICAL TIME: 2025-03-05 19:54:57.76, MESSAGE QUEUE LENGTH: 21

2025-03-05 19:54:58,811 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 142 | PHYSICAL TIME: 2025-03-05 19:54:58.81, MESSAGE QUEUE LENGTH: 21

2025-03-05 19:54:59,824 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 143 | PHYSICAL TIME: 2025-03-05 19:54:59.82, MESSAGE QUEUE LENGTH: 20

