2025-03-04 19:19:11,288 - INFO - Clock rate for client 3: 6 events per second
2025-03-04 19:19:11,875 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 1 | PHYSICAL TIME: 2025-03-04 19:19:11.87, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:12,047 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 2 | PHYSICAL TIME: 2025-03-04 19:19:11.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:12,325 - INFO - EVENT: Internal Event | LOGICAL TIME: 3 | PHYSICAL TIME: 2025-03-04 19:19:12.32, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:12,533 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 4 | PHYSICAL TIME: 2025-03-04 19:19:12.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:12,863 - INFO - EVENT: Internal Event | LOGICAL TIME: 5 | PHYSICAL TIME: 2025-03-04 19:19:12.86, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:13,037 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 6 | PHYSICAL TIME: 2025-03-04 19:19:12.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:13,304 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 7 | PHYSICAL TIME: 2025-03-04 19:19:13.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:13,535 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 8 | PHYSICAL TIME: 2025-03-04 19:19:13.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:13,736 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 9 | PHYSICAL TIME: 2025-03-04 19:19:13.73, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:13,935 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 10 | PHYSICAL TIME: 2025-03-04 19:19:13.93, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:14,316 - INFO - EVENT: Internal Event | LOGICAL TIME: 11 | PHYSICAL TIME: 2025-03-04 19:19:14.31, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:14,633 - INFO - EVENT: Internal Event | LOGICAL TIME: 12 | PHYSICAL TIME: 2025-03-04 19:19:14.63, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:14,847 - INFO - EVENT: Internal Event | LOGICAL TIME: 13 | PHYSICAL TIME: 2025-03-04 19:19:14.84, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:15,016 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 14 | PHYSICAL TIME: 2025-03-04 19:19:14.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:15,224 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 15 | PHYSICAL TIME: 2025-03-04 19:19:15.22, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:15,420 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 16 | PHYSICAL TIME: 2025-03-04 19:19:15.42, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:15,588 - INFO - EVENT: Internal Event | LOGICAL TIME: 17 | PHYSICAL TIME: 2025-03-04 19:19:15.58, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:15,949 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 18 | PHYSICAL TIME: 2025-03-04 19:19:15.94, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:16,288 - INFO - EVENT: Internal Event | LOGICAL TIME: 19 | PHYSICAL TIME: 2025-03-04 19:19:16.28, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:16,604 - INFO - EVENT: Internal Event | LOGICAL TIME: 20 | PHYSICAL TIME: 2025-03-04 19:19:16.60, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:16,868 - INFO - EVENT: Internal Event | LOGICAL TIME: 21 | PHYSICAL TIME: 2025-03-04 19:19:16.86, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:17,054 - INFO - EVENT: Internal Event | LOGICAL TIME: 22 | PHYSICAL TIME: 2025-03-04 19:19:17.05, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:17,222 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 24 | PHYSICAL TIME: 2025-03-04 19:19:16.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:17,510 - INFO - EVENT: Internal Event | LOGICAL TIME: 25 | PHYSICAL TIME: 2025-03-04 19:19:17.51, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:17,787 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 26 | PHYSICAL TIME: 2025-03-04 19:19:17.78, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:18,106 - INFO - EVENT: Internal Event | LOGICAL TIME: 27 | PHYSICAL TIME: 2025-03-04 19:19:18.10, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:18,321 - INFO - EVENT: Internal Event | LOGICAL TIME: 28 | PHYSICAL TIME: 2025-03-04 19:19:18.32, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:18,707 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 30 | PHYSICAL TIME: 2025-03-04 19:19:18.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:18,934 - INFO - EVENT: Internal Event | LOGICAL TIME: 31 | PHYSICAL TIME: 2025-03-04 19:19:18.93, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:19,106 - INFO - EVENT: Internal Event | LOGICAL TIME: 32 | PHYSICAL TIME: 2025-03-04 19:19:19.10, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:19,324 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 33 | PHYSICAL TIME: 2025-03-04 19:19:19.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:19,524 - INFO - EVENT: Internal Event | LOGICAL TIME: 34 | PHYSICAL TIME: 2025-03-04 19:19:19.52, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:19,807 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 35 | PHYSICAL TIME: 2025-03-04 19:19:19.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:19,978 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 36 | PHYSICAL TIME: 2025-03-04 19:19:19.97, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:20,242 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 37 | PHYSICAL TIME: 2025-03-04 19:19:20.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:20,413 - INFO - EVENT: Internal Event | LOGICAL TIME: 38 | PHYSICAL TIME: 2025-03-04 19:19:20.41, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:20,908 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 39 | PHYSICAL TIME: 2025-03-04 19:19:20.00, MESSAGE QUEUE LENGTH: 2

2025-03-04 19:19:21,183 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 40 | PHYSICAL TIME: 2025-03-04 19:19:20.00, MESSAGE QUEUE LENGTH: 2

2025-03-04 19:19:21,353 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 41 | PHYSICAL TIME: 2025-03-04 19:19:20.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:21,558 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 43 | PHYSICAL TIME: 2025-03-04 19:19:21.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:21,790 - INFO - EVENT: Internal Event | LOGICAL TIME: 44 | PHYSICAL TIME: 2025-03-04 19:19:21.79, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:22,095 - INFO - EVENT: Internal Event | LOGICAL TIME: 45 | PHYSICAL TIME: 2025-03-04 19:19:22.09, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:22,276 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 46 | PHYSICAL TIME: 2025-03-04 19:19:22.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:22,448 - INFO - EVENT: Internal Event | LOGICAL TIME: 47 | PHYSICAL TIME: 2025-03-04 19:19:22.44, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:22,619 - INFO - EVENT: Internal Event | LOGICAL TIME: 48 | PHYSICAL TIME: 2025-03-04 19:19:22.61, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:22,798 - INFO - EVENT: Internal Event | LOGICAL TIME: 49 | PHYSICAL TIME: 2025-03-04 19:19:22.79, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:23,009 - INFO - EVENT: Internal Event | LOGICAL TIME: 50 | PHYSICAL TIME: 2025-03-04 19:19:23.00, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:23,209 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 51 | PHYSICAL TIME: 2025-03-04 19:19:23.20, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:23,594 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 54 | PHYSICAL TIME: 2025-03-04 19:19:23.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:23,860 - INFO - EVENT: Internal Event | LOGICAL TIME: 55 | PHYSICAL TIME: 2025-03-04 19:19:23.86, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:24,032 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 56 | PHYSICAL TIME: 2025-03-04 19:19:24.03, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:24,293 - INFO - EVENT: Internal Event | LOGICAL TIME: 57 | PHYSICAL TIME: 2025-03-04 19:19:24.29, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:24,479 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 58 | PHYSICAL TIME: 2025-03-04 19:19:24.47, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:24,671 - INFO - EVENT: Internal Event | LOGICAL TIME: 59 | PHYSICAL TIME: 2025-03-04 19:19:24.67, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:24,909 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 60 | PHYSICAL TIME: 2025-03-04 19:19:24.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:25,161 - INFO - EVENT: Internal Event | LOGICAL TIME: 61 | PHYSICAL TIME: 2025-03-04 19:19:25.16, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:25,345 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 63 | PHYSICAL TIME: 2025-03-04 19:19:25.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:25,554 - INFO - EVENT: Internal Event | LOGICAL TIME: 64 | PHYSICAL TIME: 2025-03-04 19:19:25.55, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:25,726 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 65 | PHYSICAL TIME: 2025-03-04 19:19:25.72, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:25,928 - INFO - EVENT: Internal Event | LOGICAL TIME: 66 | PHYSICAL TIME: 2025-03-04 19:19:25.92, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:26,129 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 67 | PHYSICAL TIME: 2025-03-04 19:19:26.12, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:26,328 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 69 | PHYSICAL TIME: 2025-03-04 19:19:26.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:19:26,509 - INFO - EVENT: Internal Event | LOGICAL TIME: 70 | PHYSICAL TIME: 2025-03-04 19:19:26.50, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:19:26,745 - INFO - EVENT: Internal Event | LOGICAL TIME: 71 | PHYSICAL TIME: 2025-03-04 19:19:26.74, MESSAGE QUEUE LENGTH: 0

