2025-03-04 19:29:57,052 - INFO - Clock rate for client 1: 1 events per second
2025-03-04 19:29:57,864 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 1 | PHYSICAL TIME: 2025-03-04 19:29:57.00, MESSAGE QUEUE LENGTH: 2

2025-03-04 19:29:58,865 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 2 | PHYSICAL TIME: 2025-03-04 19:29:57.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:29:59,869 - INFO - EVENT: Internal Event | LOGICAL TIME: 3 | PHYSICAL TIME: 2025-03-04 19:29:59.86, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:30:01,088 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 8 | PHYSICAL TIME: 2025-03-04 19:29:59.00, MESSAGE QUEUE LENGTH: 3

2025-03-04 19:30:02,115 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 9 | PHYSICAL TIME: 2025-03-04 19:30:00.00, MESSAGE QUEUE LENGTH: 3

2025-03-04 19:30:03,129 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 11 | PHYSICAL TIME: 2025-03-04 19:30:00.00, MESSAGE QUEUE LENGTH: 2

2025-03-04 19:30:04,156 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 13 | PHYSICAL TIME: 2025-03-04 19:30:01.00, MESSAGE QUEUE LENGTH: 2

2025-03-04 19:30:05,174 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 19 | PHYSICAL TIME: 2025-03-04 19:30:03.00, MESSAGE QUEUE LENGTH: 2

2025-03-04 19:30:06,191 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 20 | PHYSICAL TIME: 2025-03-04 19:30:04.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:30:07,230 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 21 | PHYSICAL TIME: 2025-03-04 19:30:07.23, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:30:08,285 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 28 | PHYSICAL TIME: 2025-03-04 19:30:07.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:30:09,298 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 32 | PHYSICAL TIME: 2025-03-04 19:30:08.00, MESSAGE QUEUE LENGTH: 2

2025-03-04 19:30:10,369 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 33 | PHYSICAL TIME: 2025-03-04 19:30:09.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:30:11,392 - INFO - EVENT: Internal Event | LOGICAL TIME: 34 | PHYSICAL TIME: 2025-03-04 19:30:11.39, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:30:12,422 - INFO - EVENT: Internal Event | LOGICAL TIME: 35 | PHYSICAL TIME: 2025-03-04 19:30:12.42, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:30:13,464 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 42 | PHYSICAL TIME: 2025-03-04 19:30:13.00, MESSAGE QUEUE LENGTH: 1

