2025-03-05 03:27:18,362 - INFO - Clock rate for client 3: 6 events per second
2025-03-05 03:27:19,191 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 1 | PHYSICAL TIME: 2025-03-05 03:27:19.19, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:19,382 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 2 | PHYSICAL TIME: 2025-03-05 03:27:18.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:27:19,655 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 3 | PHYSICAL TIME: 2025-03-05 03:27:19.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:27:19,854 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 4 | PHYSICAL TIME: 2025-03-05 03:27:19.85, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:20,049 - INFO - EVENT: Internal Event | LOGICAL TIME: 5 | PHYSICAL TIME: 2025-03-05 03:27:20.04, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:20,249 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 6 | PHYSICAL TIME: 2025-03-05 03:27:20.24, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:20,448 - INFO - EVENT: Internal Event | LOGICAL TIME: 7 | PHYSICAL TIME: 2025-03-05 03:27:20.44, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:20,631 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 8 | PHYSICAL TIME: 2025-03-05 03:27:20.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:27:20,798 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 9 | PHYSICAL TIME: 2025-03-05 03:27:20.79, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:21,047 - INFO - EVENT: Internal Event | LOGICAL TIME: 10 | PHYSICAL TIME: 2025-03-05 03:27:21.04, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:21,246 - INFO - EVENT: Internal Event | LOGICAL TIME: 11 | PHYSICAL TIME: 2025-03-05 03:27:21.24, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:21,446 - INFO - EVENT: Internal Event | LOGICAL TIME: 12 | PHYSICAL TIME: 2025-03-05 03:27:21.44, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:21,616 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 13 | PHYSICAL TIME: 2025-03-05 03:27:21.61, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:21,803 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 14 | PHYSICAL TIME: 2025-03-05 03:27:21.80, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:21,990 - INFO - EVENT: Internal Event | LOGICAL TIME: 15 | PHYSICAL TIME: 2025-03-05 03:27:21.99, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:22,165 - INFO - EVENT: Internal Event | LOGICAL TIME: 16 | PHYSICAL TIME: 2025-03-05 03:27:22.16, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:22,350 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 17 | PHYSICAL TIME: 2025-03-05 03:27:22.35, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:22,564 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 18 | PHYSICAL TIME: 2025-03-05 03:27:22.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:27:22,807 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 19 | PHYSICAL TIME: 2025-03-05 03:27:22.80, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:23,085 - INFO - EVENT: Internal Event | LOGICAL TIME: 20 | PHYSICAL TIME: 2025-03-05 03:27:23.08, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:23,367 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 21 | PHYSICAL TIME: 2025-03-05 03:27:23.36, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:23,551 - INFO - EVENT: Internal Event | LOGICAL TIME: 22 | PHYSICAL TIME: 2025-03-05 03:27:23.55, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:23,749 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 23 | PHYSICAL TIME: 2025-03-05 03:27:23.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:27:23,999 - INFO - EVENT: Internal Event | LOGICAL TIME: 24 | PHYSICAL TIME: 2025-03-05 03:27:23.99, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:24,234 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 25 | PHYSICAL TIME: 2025-03-05 03:27:24.23, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:24,419 - INFO - EVENT: Internal Event | LOGICAL TIME: 26 | PHYSICAL TIME: 2025-03-05 03:27:24.41, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:24,618 - INFO - EVENT: Internal Event | LOGICAL TIME: 27 | PHYSICAL TIME: 2025-03-05 03:27:24.61, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:24,869 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 28 | PHYSICAL TIME: 2025-03-05 03:27:24.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:27:25,068 - INFO - EVENT: Internal Event | LOGICAL TIME: 29 | PHYSICAL TIME: 2025-03-05 03:27:25.06, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:25,249 - INFO - EVENT: Internal Event | LOGICAL TIME: 30 | PHYSICAL TIME: 2025-03-05 03:27:25.24, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:25,418 - INFO - EVENT: Internal Event | LOGICAL TIME: 31 | PHYSICAL TIME: 2025-03-05 03:27:25.41, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:25,603 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 32 | PHYSICAL TIME: 2025-03-05 03:27:25.60, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:25,784 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 33 | PHYSICAL TIME: 2025-03-05 03:27:25.78, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:26,020 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 34 | PHYSICAL TIME: 2025-03-05 03:27:25.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:27:26,187 - INFO - EVENT: Internal Event | LOGICAL TIME: 35 | PHYSICAL TIME: 2025-03-05 03:27:26.18, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:26,371 - INFO - EVENT: Internal Event | LOGICAL TIME: 36 | PHYSICAL TIME: 2025-03-05 03:27:26.37, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:26,586 - INFO - EVENT: Internal Event | LOGICAL TIME: 37 | PHYSICAL TIME: 2025-03-05 03:27:26.58, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:26,932 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 38 | PHYSICAL TIME: 2025-03-05 03:27:26.93, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:27,103 - INFO - EVENT: Internal Event | LOGICAL TIME: 39 | PHYSICAL TIME: 2025-03-05 03:27:27.10, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:27,368 - INFO - EVENT: Internal Event | LOGICAL TIME: 40 | PHYSICAL TIME: 2025-03-05 03:27:27.36, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:27,695 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 41 | PHYSICAL TIME: 2025-03-05 03:27:27.69, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:27,887 - INFO - EVENT: Internal Event | LOGICAL TIME: 42 | PHYSICAL TIME: 2025-03-05 03:27:27.88, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:28,087 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 43 | PHYSICAL TIME: 2025-03-05 03:27:28.08, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:27:28,347 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 44 | PHYSICAL TIME: 2025-03-05 03:27:28.34, MESSAGE QUEUE LENGTH: 0

