2025-03-04 19:23:50,753 - INFO - Clock rate for client 2: 2 events per second
2025-03-04 19:23:51,520 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 1 | PHYSICAL TIME: 2025-03-04 19:23:51.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:23:52,042 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 2 | PHYSICAL TIME: 2025-03-04 19:23:51.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:23:52,599 - INFO - EVENT: Internal Event | LOGICAL TIME: 3 | PHYSICAL TIME: 2025-03-04 19:23:52.59, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:23:53,141 - INFO - EVENT: Internal Event | LOGICAL TIME: 4 | PHYSICAL TIME: 2025-03-04 19:23:53.14, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:23:53,747 - INFO - EVENT: Internal Event | LOGICAL TIME: 5 | PHYSICAL TIME: 2025-03-04 19:23:53.74, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:23:54,320 - INFO - EVENT: Internal Event | LOGICAL TIME: 6 | PHYSICAL TIME: 2025-03-04 19:23:54.32, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:23:54,836 - INFO - EVENT: Internal Event | LOGICAL TIME: 7 | PHYSICAL TIME: 2025-03-04 19:23:54.83, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:23:55,350 - INFO - EVENT: Internal Event | LOGICAL TIME: 8 | PHYSICAL TIME: 2025-03-04 19:23:55.35, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:23:55,936 - INFO - EVENT: Internal Event | LOGICAL TIME: 9 | PHYSICAL TIME: 2025-03-04 19:23:55.93, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:23:56,448 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 10 | PHYSICAL TIME: 2025-03-04 19:23:56.44, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:23:56,952 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 11 | PHYSICAL TIME: 2025-03-04 19:23:56.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:23:57,452 - INFO - EVENT: Internal Event | LOGICAL TIME: 12 | PHYSICAL TIME: 2025-03-04 19:23:57.45, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:23:58,068 - INFO - EVENT: Internal Event | LOGICAL TIME: 13 | PHYSICAL TIME: 2025-03-04 19:23:58.06, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:23:58,584 - INFO - EVENT: Internal Event | LOGICAL TIME: 14 | PHYSICAL TIME: 2025-03-04 19:23:58.58, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:23:59,154 - INFO - EVENT: Internal Event | LOGICAL TIME: 15 | PHYSICAL TIME: 2025-03-04 19:23:59.15, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:23:59,681 - INFO - EVENT: Internal Event | LOGICAL TIME: 16 | PHYSICAL TIME: 2025-03-04 19:23:59.68, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:00,191 - INFO - EVENT: Internal Event | LOGICAL TIME: 17 | PHYSICAL TIME: 2025-03-04 19:24:00.19, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:00,742 - INFO - EVENT: Internal Event | LOGICAL TIME: 18 | PHYSICAL TIME: 2025-03-04 19:24:00.74, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:01,282 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 19 | PHYSICAL TIME: 2025-03-04 19:24:01.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:01,804 - INFO - EVENT: Internal Event | LOGICAL TIME: 20 | PHYSICAL TIME: 2025-03-04 19:24:01.80, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:02,360 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 21 | PHYSICAL TIME: 2025-03-04 19:24:02.36, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:02,913 - INFO - EVENT: Internal Event | LOGICAL TIME: 22 | PHYSICAL TIME: 2025-03-04 19:24:02.91, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:03,545 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 3 | LOGICAL TIME: 23 | PHYSICAL TIME: 2025-03-04 19:24:03.54, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:04,061 - INFO - EVENT: Internal Event | LOGICAL TIME: 24 | PHYSICAL TIME: 2025-03-04 19:24:04.06, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:04,619 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 25 | PHYSICAL TIME: 2025-03-04 19:24:04.61, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:05,125 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 26 | PHYSICAL TIME: 2025-03-04 19:24:05.12, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:05,643 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 27 | PHYSICAL TIME: 2025-03-04 19:24:05.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:06,147 - INFO - EVENT: Internal Event | LOGICAL TIME: 28 | PHYSICAL TIME: 2025-03-04 19:24:06.14, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:06,658 - INFO - EVENT: Internal Event | LOGICAL TIME: 29 | PHYSICAL TIME: 2025-03-04 19:24:06.65, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:07,161 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 30 | PHYSICAL TIME: 2025-03-04 19:24:06.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:07,679 - INFO - EVENT: Internal Event | LOGICAL TIME: 31 | PHYSICAL TIME: 2025-03-04 19:24:07.67, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:08,190 - INFO - EVENT: Internal Event | LOGICAL TIME: 32 | PHYSICAL TIME: 2025-03-04 19:24:08.19, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:08,730 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 3 | LOGICAL TIME: 33 | PHYSICAL TIME: 2025-03-04 19:24:08.73, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:09,273 - INFO - EVENT: Internal Event | LOGICAL TIME: 34 | PHYSICAL TIME: 2025-03-04 19:24:09.27, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:09,779 - INFO - EVENT: Internal Event | LOGICAL TIME: 35 | PHYSICAL TIME: 2025-03-04 19:24:09.77, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:10,283 - INFO - EVENT: Internal Event | LOGICAL TIME: 36 | PHYSICAL TIME: 2025-03-04 19:24:10.28, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:10,855 - INFO - EVENT: Internal Event | LOGICAL TIME: 37 | PHYSICAL TIME: 2025-03-04 19:24:10.85, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:11,362 - INFO - EVENT: Internal Event | LOGICAL TIME: 38 | PHYSICAL TIME: 2025-03-04 19:24:11.36, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:11,932 - INFO - EVENT: Internal Event | LOGICAL TIME: 39 | PHYSICAL TIME: 2025-03-04 19:24:11.93, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:12,500 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 40 | PHYSICAL TIME: 2025-03-04 19:24:12.50, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:13,030 - INFO - EVENT: Internal Event | LOGICAL TIME: 41 | PHYSICAL TIME: 2025-03-04 19:24:13.03, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:13,535 - INFO - EVENT: Internal Event | LOGICAL TIME: 42 | PHYSICAL TIME: 2025-03-04 19:24:13.53, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:14,100 - INFO - EVENT: Internal Event | LOGICAL TIME: 43 | PHYSICAL TIME: 2025-03-04 19:24:14.10, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:14,604 - INFO - EVENT: Internal Event | LOGICAL TIME: 44 | PHYSICAL TIME: 2025-03-04 19:24:14.60, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:15,132 - INFO - EVENT: Internal Event | LOGICAL TIME: 45 | PHYSICAL TIME: 2025-03-04 19:24:15.13, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:15,635 - INFO - EVENT: Internal Event | LOGICAL TIME: 46 | PHYSICAL TIME: 2025-03-04 19:24:15.63, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:16,194 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 47 | PHYSICAL TIME: 2025-03-04 19:24:16.19, MESSAGE QUEUE LENGTH: 0

