2025-03-04 19:23:50,770 - INFO - Clock rate for client 3: 1 events per second
2025-03-04 19:23:51,382 - INFO - EVENT: Internal Event | LOGICAL TIME: 1 | PHYSICAL TIME: 2025-03-04 19:23:51.38, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:23:52,426 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 2 | PHYSICAL TIME: 2025-03-04 19:23:51.00, MESSAGE QUEUE LENGTH: 2

2025-03-04 19:23:53,470 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 3 | PHYSICAL TIME: 2025-03-04 19:23:51.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:23:54,493 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 4 | PHYSICAL TIME: 2025-03-04 19:23:53.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:23:55,568 - INFO - EVENT: Internal Event | LOGICAL TIME: 5 | PHYSICAL TIME: 2025-03-04 19:23:55.56, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:23:56,588 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 6 | PHYSICAL TIME: 2025-03-04 19:23:56.58, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:23:57,604 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 11 | PHYSICAL TIME: 2025-03-04 19:23:56.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:23:58,630 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 12 | PHYSICAL TIME: 2025-03-04 19:23:58.63, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:23:59,635 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 13 | PHYSICAL TIME: 2025-03-04 19:23:59.63, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:00,692 - INFO - EVENT: Internal Event | LOGICAL TIME: 14 | PHYSICAL TIME: 2025-03-04 19:24:00.69, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:01,694 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 16 | PHYSICAL TIME: 2025-03-04 19:24:01.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:02,728 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 22 | PHYSICAL TIME: 2025-03-04 19:24:02.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:03,766 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 24 | PHYSICAL TIME: 2025-03-04 19:24:03.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:04,790 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 26 | PHYSICAL TIME: 2025-03-04 19:24:04.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:05,808 - INFO - EVENT: Internal Event | LOGICAL TIME: 27 | PHYSICAL TIME: 2025-03-04 19:24:05.80, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:06,812 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 28 | PHYSICAL TIME: 2025-03-04 19:24:06.81, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:07,815 - INFO - EVENT: Internal Event | LOGICAL TIME: 29 | PHYSICAL TIME: 2025-03-04 19:24:07.81, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:08,833 - INFO - EVENT: Internal Event | LOGICAL TIME: 30 | PHYSICAL TIME: 2025-03-04 19:24:08.83, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:09,862 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 34 | PHYSICAL TIME: 2025-03-04 19:24:08.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:10,870 - INFO - EVENT: Internal Event | LOGICAL TIME: 35 | PHYSICAL TIME: 2025-03-04 19:24:10.87, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:11,884 - INFO - EVENT: Internal Event | LOGICAL TIME: 36 | PHYSICAL TIME: 2025-03-04 19:24:11.88, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:12,917 - INFO - EVENT: Internal Event | LOGICAL TIME: 37 | PHYSICAL TIME: 2025-03-04 19:24:12.91, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:13,961 - INFO - EVENT: Internal Event | LOGICAL TIME: 38 | PHYSICAL TIME: 2025-03-04 19:24:13.96, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:15,036 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 43 | PHYSICAL TIME: 2025-03-04 19:24:14.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:16,070 - INFO - EVENT: Internal Event | LOGICAL TIME: 44 | PHYSICAL TIME: 2025-03-04 19:24:16.07, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:17,101 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 48 | PHYSICAL TIME: 2025-03-04 19:24:16.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:18,114 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 50 | PHYSICAL TIME: 2025-03-04 19:24:17.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:19,133 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 53 | PHYSICAL TIME: 2025-03-04 19:24:18.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:20,142 - INFO - EVENT: Internal Event | LOGICAL TIME: 54 | PHYSICAL TIME: 2025-03-04 19:24:20.14, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:21,173 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 56 | PHYSICAL TIME: 2025-03-04 19:24:20.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:22,177 - INFO - EVENT: Internal Event | LOGICAL TIME: 57 | PHYSICAL TIME: 2025-03-04 19:24:22.17, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:23,205 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 60 | PHYSICAL TIME: 2025-03-04 19:24:22.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:24,243 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 62 | PHYSICAL TIME: 2025-03-04 19:24:23.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:25,246 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 64 | PHYSICAL TIME: 2025-03-04 19:24:24.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:26,253 - INFO - EVENT: Internal Event | LOGICAL TIME: 65 | PHYSICAL TIME: 2025-03-04 19:24:26.25, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:27,296 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 67 | PHYSICAL TIME: 2025-03-04 19:24:26.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:28,338 - INFO - EVENT: Internal Event | LOGICAL TIME: 68 | PHYSICAL TIME: 2025-03-04 19:24:28.33, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:29,339 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 71 | PHYSICAL TIME: 2025-03-04 19:24:28.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:30,396 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 73 | PHYSICAL TIME: 2025-03-04 19:24:29.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:31,400 - INFO - EVENT: Internal Event | LOGICAL TIME: 74 | PHYSICAL TIME: 2025-03-04 19:24:31.40, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:32,403 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 75 | PHYSICAL TIME: 2025-03-04 19:24:32.40, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:33,429 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 76 | PHYSICAL TIME: 2025-03-04 19:24:33.42, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:34,550 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 81 | PHYSICAL TIME: 2025-03-04 19:24:33.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:35,668 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 84 | PHYSICAL TIME: 2025-03-04 19:24:35.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:36,670 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 86 | PHYSICAL TIME: 2025-03-04 19:24:36.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:37,704 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 87 | PHYSICAL TIME: 2025-03-04 19:24:37.00, MESSAGE QUEUE LENGTH: 2

2025-03-04 19:24:38,809 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 88 | PHYSICAL TIME: 2025-03-04 19:24:37.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:24:39,820 - INFO - EVENT: Internal Event | LOGICAL TIME: 89 | PHYSICAL TIME: 2025-03-04 19:24:39.82, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:24:40,857 - INFO - EVENT: Internal Event | LOGICAL TIME: 90 | PHYSICAL TIME: 2025-03-04 19:24:40.85, MESSAGE QUEUE LENGTH: 0

