2025-03-05 03:24:11,853 - INFO - Clock rate for client 1: 4 events per second
2025-03-05 03:24:12,592 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 1 | PHYSICAL TIME: 2025-03-05 03:24:12.00, MESSAGE QUEUE LENGTH: 2

2025-03-05 03:24:12,914 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 2 | PHYSICAL TIME: 2025-03-05 03:24:12.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:13,194 - INFO - EVENT: Internal Event | LOGICAL TIME: 3 | PHYSICAL TIME: 2025-03-05 03:24:13.19, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:13,567 - INFO - EVENT: Send Msg | RECIPIENT: 2 and 3 | LOGICAL TIME: 4 | PHYSICAL TIME: 2025-03-05 03:24:13.56, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:13,926 - INFO - EVENT: Internal Event | LOGICAL TIME: 5 | PHYSICAL TIME: 2025-03-05 03:24:13.92, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:14,189 - INFO - EVENT: Internal Event | LOGICAL TIME: 6 | PHYSICAL TIME: 2025-03-05 03:24:14.18, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:14,443 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 7 | PHYSICAL TIME: 2025-03-05 03:24:14.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:14,746 - INFO - EVENT: Internal Event | LOGICAL TIME: 8 | PHYSICAL TIME: 2025-03-05 03:24:14.74, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:15,110 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 9 | PHYSICAL TIME: 2025-03-05 03:24:15.11, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:15,560 - INFO - EVENT: Internal Event | LOGICAL TIME: 10 | PHYSICAL TIME: 2025-03-05 03:24:15.56, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:15,829 - INFO - EVENT: Internal Event | LOGICAL TIME: 11 | PHYSICAL TIME: 2025-03-05 03:24:15.82, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:16,229 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 12 | PHYSICAL TIME: 2025-03-05 03:24:16.22, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:16,512 - INFO - EVENT: Internal Event | LOGICAL TIME: 13 | PHYSICAL TIME: 2025-03-05 03:24:16.51, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:16,830 - INFO - EVENT: Internal Event | LOGICAL TIME: 14 | PHYSICAL TIME: 2025-03-05 03:24:16.83, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:17,110 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 15 | PHYSICAL TIME: 2025-03-05 03:24:16.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:17,363 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 16 | PHYSICAL TIME: 2025-03-05 03:24:17.00, MESSAGE QUEUE LENGTH: 2

2025-03-05 03:24:17,646 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 17 | PHYSICAL TIME: 2025-03-05 03:24:17.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:17,913 - INFO - EVENT: Send Msg | RECIPIENT: 2 and 3 | LOGICAL TIME: 18 | PHYSICAL TIME: 2025-03-05 03:24:17.91, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:18,222 - INFO - EVENT: Internal Event | LOGICAL TIME: 19 | PHYSICAL TIME: 2025-03-05 03:24:18.22, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:18,597 - INFO - EVENT: Send Msg | RECIPIENT: 2 and 3 | LOGICAL TIME: 20 | PHYSICAL TIME: 2025-03-05 03:24:18.59, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:18,913 - INFO - EVENT: Internal Event | LOGICAL TIME: 21 | PHYSICAL TIME: 2025-03-05 03:24:18.91, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:19,199 - INFO - EVENT: Internal Event | LOGICAL TIME: 22 | PHYSICAL TIME: 2025-03-05 03:24:19.19, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:19,497 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 23 | PHYSICAL TIME: 2025-03-05 03:24:19.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:19,759 - INFO - EVENT: Internal Event | LOGICAL TIME: 24 | PHYSICAL TIME: 2025-03-05 03:24:19.75, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:20,048 - INFO - EVENT: Internal Event | LOGICAL TIME: 25 | PHYSICAL TIME: 2025-03-05 03:24:20.04, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:20,414 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 26 | PHYSICAL TIME: 2025-03-05 03:24:19.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:20,733 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 27 | PHYSICAL TIME: 2025-03-05 03:24:20.73, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:20,984 - INFO - EVENT: Internal Event | LOGICAL TIME: 28 | PHYSICAL TIME: 2025-03-05 03:24:20.98, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:21,284 - INFO - EVENT: Internal Event | LOGICAL TIME: 29 | PHYSICAL TIME: 2025-03-05 03:24:21.28, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:21,561 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 30 | PHYSICAL TIME: 2025-03-05 03:24:21.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:21,850 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 31 | PHYSICAL TIME: 2025-03-05 03:24:21.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:22,116 - INFO - EVENT: Internal Event | LOGICAL TIME: 32 | PHYSICAL TIME: 2025-03-05 03:24:22.11, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:22,569 - INFO - EVENT: Internal Event | LOGICAL TIME: 33 | PHYSICAL TIME: 2025-03-05 03:24:22.56, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:22,850 - INFO - EVENT: Internal Event | LOGICAL TIME: 34 | PHYSICAL TIME: 2025-03-05 03:24:22.85, MESSAGE QUEUE LENGTH: 0

