2025-03-05 03:24:11,876 - INFO - Clock rate for client 3: 3 events per second
2025-03-05 03:24:12,693 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 1 | PHYSICAL TIME: 2025-03-05 03:24:12.00, MESSAGE QUEUE LENGTH: 2

2025-03-05 03:24:13,087 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 2 | PHYSICAL TIME: 2025-03-05 03:24:12.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:13,473 - INFO - EVENT: Internal Event | LOGICAL TIME: 3 | PHYSICAL TIME: 2025-03-05 03:24:13.47, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:13,811 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 5 | PHYSICAL TIME: 2025-03-05 03:24:13.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:14,173 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 6 | PHYSICAL TIME: 2025-03-05 03:24:14.17, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:14,573 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 7 | PHYSICAL TIME: 2025-03-05 03:24:14.57, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:14,994 - INFO - EVENT: Internal Event | LOGICAL TIME: 8 | PHYSICAL TIME: 2025-03-05 03:24:14.99, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:15,419 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 10 | PHYSICAL TIME: 2025-03-05 03:24:15.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:15,894 - INFO - EVENT: Internal Event | LOGICAL TIME: 11 | PHYSICAL TIME: 2025-03-05 03:24:15.89, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:16,407 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 13 | PHYSICAL TIME: 2025-03-05 03:24:16.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:16,796 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 14 | PHYSICAL TIME: 2025-03-05 03:24:16.79, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:17,146 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 15 | PHYSICAL TIME: 2025-03-05 03:24:17.14, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:17,496 - INFO - EVENT: Internal Event | LOGICAL TIME: 16 | PHYSICAL TIME: 2025-03-05 03:24:17.49, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:17,895 - INFO - EVENT: Internal Event | LOGICAL TIME: 17 | PHYSICAL TIME: 2025-03-05 03:24:17.89, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:18,238 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 19 | PHYSICAL TIME: 2025-03-05 03:24:17.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:18,676 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 21 | PHYSICAL TIME: 2025-03-05 03:24:18.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:19,062 - INFO - EVENT: Internal Event | LOGICAL TIME: 22 | PHYSICAL TIME: 2025-03-05 03:24:19.06, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:19,400 - INFO - EVENT: Internal Event | LOGICAL TIME: 23 | PHYSICAL TIME: 2025-03-05 03:24:19.40, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:19,830 - INFO - EVENT: Internal Event | LOGICAL TIME: 24 | PHYSICAL TIME: 2025-03-05 03:24:19.83, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:20,232 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 25 | PHYSICAL TIME: 2025-03-05 03:24:19.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:20,650 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 26 | PHYSICAL TIME: 2025-03-05 03:24:20.65, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:21,015 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 28 | PHYSICAL TIME: 2025-03-05 03:24:20.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:21,398 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 29 | PHYSICAL TIME: 2025-03-05 03:24:21.39, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:21,735 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 30 | PHYSICAL TIME: 2025-03-05 03:24:21.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:22,101 - INFO - EVENT: Internal Event | LOGICAL TIME: 31 | PHYSICAL TIME: 2025-03-05 03:24:22.10, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:22,451 - INFO - EVENT: Internal Event | LOGICAL TIME: 32 | PHYSICAL TIME: 2025-03-05 03:24:22.45, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:22,801 - INFO - EVENT: Internal Event | LOGICAL TIME: 33 | PHYSICAL TIME: 2025-03-05 03:24:22.80, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:23,151 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 34 | PHYSICAL TIME: 2025-03-05 03:24:22.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:23,516 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 36 | PHYSICAL TIME: 2025-03-05 03:24:23.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:23,901 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 37 | PHYSICAL TIME: 2025-03-05 03:24:23.90, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:24,253 - INFO - EVENT: Internal Event | LOGICAL TIME: 38 | PHYSICAL TIME: 2025-03-05 03:24:24.25, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:24,636 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 40 | PHYSICAL TIME: 2025-03-05 03:24:24.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:25,053 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 41 | PHYSICAL TIME: 2025-03-05 03:24:25.05, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:25,388 - INFO - EVENT: Internal Event | LOGICAL TIME: 42 | PHYSICAL TIME: 2025-03-05 03:24:25.38, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:25,753 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 43 | PHYSICAL TIME: 2025-03-05 03:24:25.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:26,102 - INFO - EVENT: Internal Event | LOGICAL TIME: 44 | PHYSICAL TIME: 2025-03-05 03:24:26.10, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:26,438 - INFO - EVENT: Internal Event | LOGICAL TIME: 45 | PHYSICAL TIME: 2025-03-05 03:24:26.43, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:26,802 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 46 | PHYSICAL TIME: 2025-03-05 03:24:26.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:27,138 - INFO - EVENT: Internal Event | LOGICAL TIME: 47 | PHYSICAL TIME: 2025-03-05 03:24:27.13, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:27,502 - INFO - EVENT: Internal Event | LOGICAL TIME: 48 | PHYSICAL TIME: 2025-03-05 03:24:27.50, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:27,840 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 49 | PHYSICAL TIME: 2025-03-05 03:24:27.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:28,188 - INFO - EVENT: Internal Event | LOGICAL TIME: 50 | PHYSICAL TIME: 2025-03-05 03:24:28.18, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:28,618 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 51 | PHYSICAL TIME: 2025-03-05 03:24:28.61, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:28,953 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 52 | PHYSICAL TIME: 2025-03-05 03:24:28.95, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:29,321 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 57 | PHYSICAL TIME: 2025-03-05 03:24:29.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:29,872 - INFO - EVENT: Internal Event | LOGICAL TIME: 58 | PHYSICAL TIME: 2025-03-05 03:24:29.87, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:30,271 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 59 | PHYSICAL TIME: 2025-03-05 03:24:30.27, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:30,664 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 61 | PHYSICAL TIME: 2025-03-05 03:24:30.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 03:24:31,008 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 62 | PHYSICAL TIME: 2025-03-05 03:24:31.00, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:31,406 - INFO - EVENT: Internal Event | LOGICAL TIME: 63 | PHYSICAL TIME: 2025-03-05 03:24:31.40, MESSAGE QUEUE LENGTH: 0

2025-03-05 03:24:31,743 - INFO - EVENT: Internal Event | LOGICAL TIME: 64 | PHYSICAL TIME: 2025-03-05 03:24:31.74, MESSAGE QUEUE LENGTH: 0

