2025-03-04 19:13:35,172 - INFO - Clock rate for client 1: 4 events per second
2025-03-04 19:13:36,041 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 1 | PHYSICAL TIME: 2025-03-04 19:13:35.00, MESSAGE QUEUE LENGTH: 3

2025-03-04 19:13:36,308 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 2 | PHYSICAL TIME: 2025-03-04 19:13:35.00, MESSAGE QUEUE LENGTH: 2

2025-03-04 19:13:36,622 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 3 | PHYSICAL TIME: 2025-03-04 19:13:35.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:13:36,921 - INFO - EVENT: Internal Event | LOGICAL TIME: 4 | PHYSICAL TIME: 2025-03-04 19:13:36.92, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:37,220 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 5 | PHYSICAL TIME: 2025-03-04 19:13:37.22, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:37,672 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 10 | PHYSICAL TIME: 2025-03-04 19:13:37.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:13:37,987 - INFO - EVENT: Internal Event | LOGICAL TIME: 11 | PHYSICAL TIME: 2025-03-04 19:13:37.98, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:38,320 - INFO - EVENT: Internal Event | LOGICAL TIME: 12 | PHYSICAL TIME: 2025-03-04 19:13:38.32, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:38,583 - INFO - EVENT: Internal Event | LOGICAL TIME: 13 | PHYSICAL TIME: 2025-03-04 19:13:38.58, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:38,890 - INFO - EVENT: Internal Event | LOGICAL TIME: 14 | PHYSICAL TIME: 2025-03-04 19:13:38.89, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:39,141 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 15 | PHYSICAL TIME: 2025-03-04 19:13:39.14, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:39,406 - INFO - EVENT: Send Msg | RECIPIENT: 2 and 3 | LOGICAL TIME: 16 | PHYSICAL TIME: 2025-03-04 19:13:39.40, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:39,668 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 17 | PHYSICAL TIME: 2025-03-04 19:13:39.66, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:39,974 - INFO - EVENT: Internal Event | LOGICAL TIME: 18 | PHYSICAL TIME: 2025-03-04 19:13:39.97, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:40,265 - INFO - EVENT: Internal Event | LOGICAL TIME: 19 | PHYSICAL TIME: 2025-03-04 19:13:40.26, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:40,594 - INFO - EVENT: Internal Event | LOGICAL TIME: 20 | PHYSICAL TIME: 2025-03-04 19:13:40.59, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:40,861 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 21 | PHYSICAL TIME: 2025-03-04 19:13:40.86, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:41,158 - INFO - EVENT: Internal Event | LOGICAL TIME: 22 | PHYSICAL TIME: 2025-03-04 19:13:41.15, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:41,469 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 27 | PHYSICAL TIME: 2025-03-04 19:13:41.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:13:41,743 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 28 | PHYSICAL TIME: 2025-03-04 19:13:41.74, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:42,004 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 30 | PHYSICAL TIME: 2025-03-04 19:13:41.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:13:42,311 - INFO - EVENT: Send Msg | RECIPIENT: 2 and 3 | LOGICAL TIME: 31 | PHYSICAL TIME: 2025-03-04 19:13:42.31, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:42,625 - INFO - EVENT: Internal Event | LOGICAL TIME: 32 | PHYSICAL TIME: 2025-03-04 19:13:42.62, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:42,896 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 34 | PHYSICAL TIME: 2025-03-04 19:13:42.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:13:43,148 - INFO - EVENT: Internal Event | LOGICAL TIME: 35 | PHYSICAL TIME: 2025-03-04 19:13:43.14, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:43,475 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 36 | PHYSICAL TIME: 2025-03-04 19:13:43.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:13:43,778 - INFO - EVENT: Internal Event | LOGICAL TIME: 37 | PHYSICAL TIME: 2025-03-04 19:13:43.77, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:44,181 - INFO - EVENT: Send Msg | RECIPIENT: 2 and 3 | LOGICAL TIME: 38 | PHYSICAL TIME: 2025-03-04 19:13:44.18, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:44,439 - INFO - EVENT: Internal Event | LOGICAL TIME: 39 | PHYSICAL TIME: 2025-03-04 19:13:44.43, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:44,711 - INFO - EVENT: Internal Event | LOGICAL TIME: 40 | PHYSICAL TIME: 2025-03-04 19:13:44.71, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:44,962 - INFO - EVENT: Internal Event | LOGICAL TIME: 41 | PHYSICAL TIME: 2025-03-04 19:13:44.96, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:45,212 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 44 | PHYSICAL TIME: 2025-03-04 19:13:44.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:13:45,548 - INFO - EVENT: Internal Event | LOGICAL TIME: 45 | PHYSICAL TIME: 2025-03-04 19:13:45.54, MESSAGE QUEUE LENGTH: 0

2025-03-04 19:13:45,913 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 48 | PHYSICAL TIME: 2025-03-04 19:13:45.00, MESSAGE QUEUE LENGTH: 3

2025-03-04 19:13:46,198 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 49 | PHYSICAL TIME: 2025-03-04 19:13:45.00, MESSAGE QUEUE LENGTH: 2

2025-03-04 19:13:46,457 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 50 | PHYSICAL TIME: 2025-03-04 19:13:45.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 19:13:46,719 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 52 | PHYSICAL TIME: 2025-03-04 19:13:46.00, MESSAGE QUEUE LENGTH: 2

